t, ekin, erot, evib_1, evib_2, evib_3, evib_4
8.80880880880881e-06, 1.2341473262310095e-19, 1.234244304262044e-19, 5.671349511032676e-20, 1.3607868261261168e-19, 1.67791267734358e-19, 2.0958171858878873e-19
8.818818818818819e-06, 1.2341461081099645e-19, 1.2342425437009996e-19, 5.671326171472317e-20, 1.3607802907599485e-19, 1.6779102772282372e-19, 2.095831434007524e-19
8.82882882882883e-06, 1.2341448963923817e-19, 1.2342407929880516e-19, 5.67130297303107e-20, 1.3607737852268838e-19, 1.6779078774260016e-19, 2.0958456216174794e-19
8.838838838838838e-06, 1.2341436910411307e-19, 1.234239052060657e-19, 5.671279914799752e-20, 1.3607673093974434e-19, 1.6779054779910703e-19, 2.0958597489836296e-19
8.848848848848849e-06, 1.234142492019319e-19, 1.2342373208567338e-19, 5.671256995875285e-20, 1.3607608631426359e-19, 1.6779030789770711e-19, 2.0958738163706173e-19
8.85885885885886e-06, 1.2341412992903002e-19, 1.234235599314658e-19, 5.671234215360642e-20, 1.3607544463339565e-19, 1.6779006804370684e-19, 2.0958878240418578e-19
8.868868868868869e-06, 1.234140112817667e-19, 1.2342338873732586e-19, 5.671211572364811e-20, 1.360748058843386e-19, 1.6778982824235675e-19, 2.0959017722595458e-19
8.87887887887888e-06, 1.2341389325652456e-19, 1.2342321849718147e-19, 5.671189066002759e-20, 1.3607417005433894e-19, 1.6778958849885187e-19, 2.0959156612846608e-19
8.888888888888888e-06, 1.2341377584971036e-19, 1.2342304920500511e-19, 5.671166695395384e-20, 1.3607353713069158e-19, 1.6778934881833226e-19, 2.0959294913769738e-19
8.898898898898899e-06, 1.2341365905775386e-19, 1.2342288085481344e-19, 5.671144459669481e-20, 1.3607290710073964e-19, 1.6778910920588345e-19, 2.0959432627950532e-19
8.90890890890891e-06, 1.234135428771084e-19, 1.2342271344066695e-19, 5.671122357957695e-20, 1.360722799518744e-19, 1.6778886966653682e-19, 2.0959569757962709e-19
8.918918918918919e-06, 1.2341342730424998e-19, 1.2342254695666959e-19, 5.67110038939849e-20, 1.3607165567153513e-19, 1.6778863020527016e-19, 2.095970630636808e-19
8.92892892892893e-06, 1.2341331233567793e-19, 1.2342238139696835e-19, 5.671078553136105e-20, 1.360710342472091e-19, 1.6778839082700802e-19, 2.0959842275716615e-19
8.93893893893894e-06, 1.2341319796791388e-19, 1.2342221675575298e-19, 5.67105684832051e-20, 1.3607041566643136e-19, 1.6778815153662221e-19, 2.0959977668546494e-19
8.948948948948949e-06, 1.2341308419750254e-19, 1.2342205302725554e-19, 5.671035274107379e-20, 1.360697999167847e-19, 1.677879123389322e-19, 2.0960112487384175e-19
8.95895895895896e-06, 1.2341297102101044e-19, 1.2342189020575012e-19, 5.671013829658039e-20, 1.3606918698589947e-19, 1.677876732387056e-19, 2.0960246734744443e-19
8.968968968968969e-06, 1.234128584350268e-19, 1.2342172828555241e-19, 5.670992514139442e-20, 1.3606857686145355e-19, 1.6778743424065853e-19, 2.096038041313048e-19
8.97897897897898e-06, 1.2341274643616261e-19, 1.2342156726101938e-19, 5.670971326724119e-20, 1.360679695311722e-19, 1.6778719534945606e-19, 2.0960513525033915e-19
8.98898898898899e-06, 1.2341263502105076e-19, 1.2342140712654893e-19, 5.670950266590144e-20, 1.360673649828279e-19, 1.677869565697127e-19, 2.0960646072934883e-19
8.998998998998999e-06, 1.2341252418634607e-19, 1.2342124787657957e-19, 5.670929332921102e-20, 1.3606676320424038e-19, 1.6778671790599268e-19, 2.0960778059302081e-19
9.00900900900901e-06, 1.234124139287248e-19, 1.2342108950559003e-19, 5.670908524906043e-20, 1.3606616418327637e-19, 1.677864793628106e-19, 2.0960909486592834e-19
9.019019019019018e-06, 1.2341230424488452e-19, 1.2342093200809895e-19, 5.67088784173945e-20, 1.3606556790784955e-19, 1.6778624094463154e-19, 2.096104035725314e-19
9.029029029029029e-06, 1.2341219513154442e-19, 1.2342077537866454e-19, 5.670867282621202e-20, 1.3606497436592038e-19, 1.6778600265587172e-19, 2.096117067371774e-19
9.03903903903904e-06, 1.234120865854444e-19, 1.2342061961188424e-19, 5.670846846756537e-20, 1.360643835454961e-19, 1.677857645008988e-19, 2.0961300438410157e-19
9.049049049049049e-06, 1.2341197860334553e-19, 1.2342046470239442e-19, 5.670826533356013e-20, 1.3606379543463045e-19, 1.677855264840323e-19, 2.096142965374277e-19
9.05905905905906e-06, 1.2341187118202955e-19, 1.2342031064487e-19, 5.670806341635478e-20, 1.3606321002142375e-19, 1.6778528860954398e-19, 2.0961558322116854e-19
9.06906906906907e-06, 1.2341176431829882e-19, 1.2342015743402414e-19, 5.670786270816025e-20, 1.360626272940226e-19, 1.677850508816583e-19, 2.096168644592265e-19
9.079079079079079e-06, 1.234116580089763e-19, 1.23420005064608e-19, 5.670766320123963e-20, 1.360620472406199e-19, 1.6778481330455272e-19, 2.0961814027539405e-19
9.08908908908909e-06, 1.2341155225090521e-19, 1.234198535314103e-19, 5.670746488790782e-20, 1.3606146984945467e-19, 1.6778457588235817e-19, 2.096194106933544e-19
9.099099099099099e-06, 1.2341144704094898e-19, 1.2341970282925713e-19, 5.670726776053114e-20, 1.3606089510881193e-19, 1.677843386191594e-19, 2.0962067573668193e-19
9.10910910910911e-06, 1.234113423759912e-19, 1.234195529530115e-19, 5.6707071811527e-20, 1.3606032300702258e-19, 1.677841015189954e-19, 2.0962193542884288e-19
9.11911911911912e-06, 1.2341123825293523e-19, 1.2341940389757315e-19, 5.670687703336354e-20, 1.3605975353246333e-19, 1.677838645858597e-19, 2.096231897931957e-19
9.129129129129129e-06, 1.234111346687038e-19, 1.234192556578782e-19, 5.670668341855931e-20, 1.3605918667355653e-19, 1.6778362782370087e-19, 2.0962443885299173e-19
9.13913913913914e-06, 1.234110316202403e-19, 1.2341910822889885e-19, 5.67064909596829e-20, 1.3605862241877007e-19, 1.6778339123642282e-19, 2.0962568263137564e-19
9.149149149149149e-06, 1.2341092910450647e-19, 1.2341896160564307e-19, 5.670629964935262e-20, 1.3605806075661728e-19, 1.6778315482788514e-19, 2.0962692115138604e-19
9.15915915915916e-06, 1.234108271184837e-19, 1.2341881578315431e-19, 5.670610948023614e-20, 1.3605750167565678e-19, 1.6778291860190357e-19, 2.0962815443595597e-19
9.16916916916917e-06, 1.2341072565917302e-19, 1.2341867075651126e-19, 5.670592044505019e-20, 1.3605694516449234e-19, 1.677826825622503e-19, 2.096293825079134e-19
9.179179179179179e-06, 1.234106247235941e-19, 1.2341852652082744e-19, 5.670573253656016e-20, 1.360563912117728e-19, 1.677824467126543e-19, 2.0963060538998176e-19
9.18918918918919e-06, 1.2341052430878534e-19, 1.2341838307125102e-19, 5.670554574757986e-20, 1.36055839806192e-19, 1.677822110568018e-19, 2.0963182310478048e-19
9.1991991991992e-06, 1.2341042441180427e-19, 1.234182404029645e-19, 5.67053600709711e-20, 1.3605529093648853e-19, 1.6778197559833653e-19, 2.096330356748255e-19
9.20920920920921e-06, 1.2341032502972714e-19, 1.2341809851118444e-19, 5.670517549964344e-20, 1.3605474459144566e-19, 1.6778174034086014e-19, 2.0963424312252975e-19
9.21921921921922e-06, 1.2341022615964814e-19, 1.2341795739116113e-19, 5.670499202655379e-20, 1.360542007598913e-19, 1.677815052879325e-19, 2.096354454702037e-19
9.229229229229229e-06, 1.234101277986802e-19, 1.2341781703817834e-19, 5.670480964470617e-20, 1.3605365943069777e-19, 1.6778127044307213e-19, 2.0963664274005586e-19
9.23923923923924e-06, 1.2341002994395477e-19, 1.2341767744755308e-19, 5.670462834715132e-20, 1.3605312059278173e-19, 1.677810358097565e-19, 2.0963783495419322e-19
9.24924924924925e-06, 1.234099325926207e-19, 1.234175386146353e-19, 5.670444812698641e-20, 1.3605258423510402e-19, 1.6778080139142235e-19, 2.0963902213462185e-19
9.259259259259259e-06, 1.2340983574184512e-19, 1.2341740053480761e-19, 5.670426897735471e-20, 1.360520503466696e-19, 1.677805671914661e-19, 2.0964020430324732e-19
9.26926926926927e-06, 1.2340973938881348e-19, 1.2341726320348504e-19, 5.670409089144531e-20, 1.3605151891652735e-19, 1.6778033321324409e-19, 2.096413814818752e-19
9.279279279279279e-06, 1.2340964353072843e-19, 1.2341712661611474e-19, 5.670391386249276e-20, 1.3605098993377001e-19, 1.6778009946007303e-19, 2.0964255369221163e-19
9.28928928928929e-06, 1.2340954816480996e-19, 1.2341699076817575e-19, 5.670373788377681e-20, 1.3605046338753405e-19, 1.6777986593523024e-19, 2.0964372095586373e-19
9.2992992992993e-06, 1.234094532882962e-19, 1.234168556551787e-19, 5.670356294862206e-20, 1.3604993926699946e-19, 1.6777963264195406e-19, 2.096448832943401e-19
9.309309309309309e-06, 1.234093588984421e-19, 1.2341672127266564e-19, 5.670338905039768e-20, 1.3604941756138975e-19, 1.6777939958344413e-19, 2.0964604072905128e-19
9.31931931931932e-06, 1.2340926499252006e-19, 1.234165876162097e-19, 5.670321618251707e-20, 1.3604889825997174e-19, 1.6777916676286167e-19, 2.0964719328131034e-19
