t, temp, trot, tvib_1, tvib_2, tvib_3, tvib_4
6.916916916916917e-06, 5961.223790309286, 5962.716819113214, 5967.5622501009075, 5970.348371955985, 5961.486327015354, 5939.5637859856715
6.926926926926927e-06, 5961.206787448588, 5962.689711654784, 5967.504711735422, 5970.293150885542, 5961.4851356572835, 5939.642440241626
6.936936936936937e-06, 5961.189887059997, 5962.662787678654, 5967.447541369242, 5970.23816115104, 5961.483872532232, 5939.72074705917
6.9469469469469474e-06, 5961.173088431022, 5962.636045713553, 5967.390736591417, 5970.18340197198, 5961.4825384312535, 5939.798708073208
6.956956956956957e-06, 5961.156390854959, 5962.609484301994, 5967.334295006379, 5970.128872568273, 5961.481134138453, 5939.876324910106
6.966966966966967e-06, 5961.139793630813, 5962.583102000124, 5967.278214233924, 5970.074572160294, 5961.479660431242, 5939.953599187732
6.976976976976977e-06, 5961.123296063278, 5962.556897377592, 5967.2224919091095, 5970.0204999688885, 5961.478118080326, 5940.030532515537
6.9869869869869876e-06, 5961.106897462669, 5962.530869017393, 5967.167125682152, 5969.966655215425, 5961.476507849752, 5940.107126494581
6.996996996996997e-06, 5961.090597144861, 5962.50501551574, 5967.112113218335, 5969.913037121814, 5961.474830496917, 5940.183382717595
7.007007007007007e-06, 5961.074394431235, 5962.479335481913, 5967.0574521979315, 5969.859644910542, 5961.473086772688, 5940.259302769024
7.017017017017017e-06, 5961.058288648645, 5962.453827538133, 5967.003140316144, 5969.806477804698, 5961.471277421479, 5940.334888225086
7.027027027027027e-06, 5961.042279129356, 5962.4284903194175, 5966.949175282992, 5969.75353502801, 5961.469403181272, 5940.410140653821
7.0370370370370375e-06, 5961.026365211011, 5962.403322473451, 5966.895554823156, 5969.7008158048675, 5961.467464783487, 5940.485061615129
7.047047047047047e-06, 5961.010546236533, 5962.378322660454, 5966.842276676127, 5969.648319360351, 5961.465462953598, 5940.559652660838
7.057057057057057e-06, 5960.994821554138, 5962.353489553044, 5966.789338595785, 5969.596044920264, 5961.463398410372, 5940.633915334737
7.067067067067067e-06, 5960.97919051724, 5962.328821836111, 5966.7367383506025, 5969.54399171115, 5961.461271866645, 5940.70785117263
7.077077077077078e-06, 5960.96365248444, 5962.304318206694, 5966.68447372341, 5969.492158960335, 5961.459084028971, 5940.781461702386
7.087087087087087e-06, 5960.948206819441, 5962.279977373845, 5966.632542511334, 5969.440545895943, 5961.456835597744, 5940.854748443984
7.097097097097097e-06, 5960.932852891014, 5962.255798058508, 5966.580942525753, 5969.389151746918, 5961.454527267364, 5940.927712909559
7.107107107107107e-06, 5960.917590072978, 5962.231778993396, 5966.529671592192, 5969.337975743071, 5961.452159726195, 5941.000356603454
7.117117117117117e-06, 5960.9024177441115, 5962.207918922866, 5966.478727550219, 5969.287017115075, 5961.449733656586, 5941.072681022264
7.1271271271271275e-06, 5960.88733528814, 5962.184216602804, 5966.428108253414, 5969.236275094514, 5961.44724973506, 5941.144687654883
7.137137137137137e-06, 5960.872342093671, 5962.160670800493, 5966.377811569206, 5969.1857489139, 5961.444708632137, 5941.216377982544
7.147147147147147e-06, 5960.85743755416, 5962.137280294509, 5966.327835378898, 5969.135437806685, 5961.442111012678, 5941.2877534788795
7.157157157157157e-06, 5960.842621067841, 5962.114043874592, 5966.278177577474, 5969.085341007313, 5961.4394575356155, 5941.358815609948
7.167167167167168e-06, 5960.827892037745, 5962.09096034154, 5966.228836073569, 5969.035457751206, 5961.436748854174, 5941.429565834289
7.1771771771771775e-06, 5960.813249871582, 5962.068028507088, 5966.17980878947, 5968.985787274816, 5961.433985616083, 5941.500005602978
7.187187187187187e-06, 5960.798693981733, 5962.045247193793, 5966.131093660865, 5968.936328815638, 5961.431168463236, 5941.570136359647
7.197197197197197e-06, 5960.784223785233, 5962.022615234932, 5966.082688636883, 5968.887081612228, 5961.428298031997, 5941.639959540549
7.207207207207208e-06, 5960.769838703673, 5962.000131474384, 5966.034591679998, 5968.838044904228, 5961.425374953243, 5941.709476574591
7.2172172172172176e-06, 5960.7555381631955, 5961.977794766519, 5965.986800765924, 5968.789217932386, 5961.4223998523275, 5941.7786888833825
7.227227227227227e-06, 5960.741321594451, 5961.955603976095, 5965.939313883585, 5968.74059993858, 5961.419373349239, 5941.847597881277
7.237237237237237e-06, 5960.727188432542, 5961.933557978148, 5965.8921290348935, 5968.6921901658325, 5961.416296058325, 5941.916204975411
7.247247247247247e-06, 5960.713138117003, 5961.911655657889, 5965.845244234887, 5968.643987858337, 5961.413168588834, 5941.9845115657545
7.257257257257258e-06, 5960.699170091743, 5961.889895910597, 5965.798657511492, 5968.595992261472, 5961.409991544585, 5942.05251904515
7.2672672672672675e-06, 5960.6852838050045, 5961.868277641515, 5965.752366905535, 5968.548202621822, 5961.4067655242425, 5942.120228799347
7.277277277277277e-06, 5960.671478709344, 5961.846799765751, 5965.70637047056, 5968.500618187201, 5961.403491121064, 5942.187642207059
7.287287287287287e-06, 5960.657754261581, 5961.825461208175, 5965.660666272838, 5968.453238206663, 5961.400168923214, 5942.254760639983
7.297297297297298e-06, 5960.644109922745, 5961.804260903317, 5965.6152523913015, 5968.406061930527, 5961.396799513767, 5942.321585462865
7.307307307307308e-06, 5960.630545158078, 5961.783197795276, 5965.570126917419, 5968.35908861039, 5961.3933834706895, 5942.388118033525
7.3173173173173174e-06, 5960.617059436952, 5961.762270837609, 5965.525287955133, 5968.31231749915, 5961.389921366881, 5942.4543597029
7.327327327327327e-06, 5960.603652232843, 5961.741478993249, 5965.480733620741, 5968.2657478510155, 5961.386413770124, 5942.520311815085
7.337337337337338e-06, 5960.590323023326, 5961.720821234398, 5965.436462042962, 5968.219378921533, 5961.3828612434545, 5942.5859757073795
7.347347347347348e-06, 5960.57707129001, 5961.700296542441, 5965.39247136267, 5968.173209967589, 5961.37926434476, 5942.651352710313
7.3573573573573575e-06, 5960.563896518486, 5961.679903907846, 5965.348759732989, 5968.127240247445, 5961.375623627214, 5942.716444147699
7.367367367367367e-06, 5960.550798198341, 5961.659642330075, 5965.3053253190665, 5968.081469020732, 5961.371939638979, 5942.78125133666
7.377377377377377e-06, 5960.537775823065, 5961.639510817496, 5965.262166298152, 5968.035895548486, 5961.368212923554, 5942.845775587682
7.387387387387388e-06, 5960.524828890065, 5961.619508387281, 5965.219280859425, 5967.9905190931495, 5961.364444019639, 5942.910018204642
7.397397397397398e-06, 5960.511956900605, 5961.599634065331, 5965.176667203909, 5967.9453389185965, 5961.360633461114, 5942.973980484844
7.4074074074074075e-06, 5960.499159359774, 5961.57988688618, 5965.134323544476, 5967.9003542901355, 5961.356781777258, 5943.037663719069
7.417417417417417e-06, 5960.486435776459, 5961.560265892909, 5965.092248105743, 5967.855564474535, 5961.352889492748, 5943.101069191603
7.427427427427428e-06, 5960.473785663292, 5961.540770137059, 5965.050439123916, 5967.810968740026, 5961.348957127437, 5943.164198180272
7.437437437437438e-06, 5960.461208536648, 5961.521398678544, 5965.008894846888, 5967.766566356339, 5961.344985196865, 5943.227051956494
7.447447447447448e-06, 5960.448703916592, 5961.502150585571, 5964.96761353403, 5967.722356594685, 5961.34097421192, 5943.289631785301
7.457457457457457e-06, 5960.436271326862, 5961.483024934556, 5964.926593456126, 5967.678338727796, 5961.336924678908, 5943.351938925377
7.467467467467467e-06, 5960.423910294796, 5961.464020810036, 5964.885832895399, 5967.634512029916, 5961.332837099824, 5943.4139746291075
7.477477477477478e-06, 5960.411620351342, 5961.445137304593, 5964.845330145359, 5967.5908757768375, 5961.328711972185, 5943.4757401425995
7.487487487487488e-06, 5960.399401031029, 5961.426373518771, 5964.805083510713, 5967.547429245892, 5961.32454978903, 5943.537236705721
7.4974974974974975e-06, 5960.38725187189, 5961.407728560995, 5964.765091307405, 5967.504171715977, 5961.320351039196, 5943.598465552155
7.507507507507507e-06, 5960.375172415491, 5961.389201547494, 5964.7253518624175, 5967.4611024675605, 5961.3161162070855, 5943.659427909402
7.517517517517518e-06, 5960.363162206849, 5961.370791602223, 5964.685863513758, 5967.418220782692, 5961.311845772781, 5943.720124998843
7.527527527527528e-06, 5960.351220794433, 5961.352497856784, 5964.646624610501, 5967.375525945021, 5961.3075402123995, 5943.780558035767
